"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label","party"
"b_zi_scalemargin_pc",-0.145242701023775,-0.1439285,0.14474345016403,-0.429009775,-0.3853261,0.0894234799999999,0.136997,"zero-inflated","Margin of victory","Republicans"
"b_zi_scalemedianIncomeE",0.08846870105965,0.08993815,0.178811214311824,-0.257090325,-0.20742435,0.3924876,0.4420608,"zero-inflated","Median income","Republicans"
"b_zi_scalenet_trump_vote",-0.480153078791025,-0.479717,0.41476405258695,-1.311006,-1.158916,0.1809651,0.315262325000001,"zero-inflated","Net Trump vote","Republicans"
"b_zi_scalenokken_poole_dim1",0.417621791375,0.414489,0.170293964066858,0.0923383725,0.14124225,0.70481535,0.75589375,"zero-inflated","Ideology (DW Nominate 1)","Republicans"
"b_zi_scalenokken_poole_dim2",0.13540538615138,0.1331505,0.172872172945788,-0.202835975,-0.1508828,0.4185194,0.485019575,"zero-inflated","Ideology (DW Nominate 2)","Republicans"
"b_zi_scaleVery.low.density",0.141408847962025,0.138941,0.20134756277249,-0.249228375,-0.1862047,0.4729467,0.55485905,"zero-inflated","Population density ","Republicans"
"r_yr_wk__zi[2020_13,Intercept]",1.73882255,1.709915,0.491041189428391,0.847809425,0.97331365,2.5879435,2.77359325,"zero-inflated","CDC (offset)","Republicans"
"r_yr_wk__zi[2020_21,Intercept]",0.042432762053725,0.0382425,0.347314645927395,-0.639671425,-0.52094485,0.62114405,0.724701175,"zero-inflated","Biden mask (offset)","Republicans"
"r_yr_wk__zi[2020_28,Intercept]",-0.7970261457701,-0.800915,0.371814007174479,-1.5077975,-1.406915,-0.182479650000001,-0.0454742525,"zero-inflated","Trump mask (offset)","Republicans"
"r_yr_wk__zi[2020_44,Intercept]",-1.1304235485,-1.128585,0.33849546763116,-1.804376,-1.7015215,-0.5673611,-0.46580085,"zero-inflated","Election (offset)","Republicans"
"r_yr_wk[2020_13,Intercept]",-0.301065979764925,-0.2868715,0.399194078834594,-1.1186895,-0.96638845,0.3304386,0.439519675,"beta","CDC (offset)","Republicans"
"r_yr_wk[2020_21,Intercept]",0.06807315608976,0.0726899,0.248378623070696,-0.434189175,-0.34839765,0.47618725,0.559337025,"beta","Biden mask (offset)","Republicans"
"r_yr_wk[2020_28,Intercept]",0.7406449699994,0.7434735,0.206949785462219,0.3455041,0.4066898,1.080711,1.14553625,"beta","Trump mask (offset)","Republicans"
"r_yr_wk[2020_44,Intercept]",0.5985274899,0.596129,0.179415196377241,0.2447704,0.30640625,0.89619235,0.945286925,"beta","Election (offset)","Republicans"
